,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,PERCENTUAL IDEAL,,,,,,,,,,,,
,"25,00%","0,00%","0,00%","20,00%","50,00%","5,00%",,Patrimônio atual,"R$ 2.316,47",,,,
,Ações,Exterior,ETFs,FIIs,Renda Fixa,Criptomoedas,,Quanto vou aportar,"R$ 150,00",,,,
,BBAS3,,,GARE11,SOFISA,BTC,,,,,,,
,SANEPAR11,,,VGHF11,,ETH,,,Percentual Atual,Percentual Ideal,Quanto Coloco,,
,LEVE3,,,XPCA11,,,,Ações,"10,47%","25,0%","R$ 140,80","374,083091","R$ 374,08"
,,,,XPML11,,,,Exterior,"0,0%","0,0%","R$ 0,00",0,"R$ 0,00"
,,,,,,,,ETFs,"0,0%","0,0%","R$ 0,00",0,"R$ 0,00"
,,,,,,,,FIIs,"20,24%","20,0%","R$ 9,20","24,440472","R$ 24,44"
,,,,,,,,Renda Fixa,"57,81%","50,0%","R$ 0,00",0,"-R$ 105,92"
,,,,,,,,Criptomoedas,"11,5%","5,0%","R$ 0,00",0,"-R$ 142,38"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,PREÇO,LUCRO,,,
,,,,,,,,,"R$ 10,00","R$ 3,00",,,
,,,,,,,,,"3,333333333",,,,